elapsed_s,kbps,pps
2.0,1056.0,541.0
4.0,1025.4,525.3
8.0,1021.6,523.3
12.0,1022.1,523.6
16.0,1019.7,522.4
20.0,1023.3,524.3
24.0,1012.4,518.7
28.0,1023.9,524.6
32.0,1019.4,522.2
36.0,1031.1,528.2
40.0,1027.0,526.1
44.0,1024.4,524.8
46.0,1022.4,523.8
48.0,999.4,512.0
52.0,1010.7,517.8
56.0,193.9,99.3
60.0,0.0,0.0
62.0,0.0,0.0
66.0,0.0,0.0
70.0,0.0,0.0
74.0,0.0,0.0
78.0,0.0,0.0
80.0,0.0,0.0
84.0,0.0,0.0
86.0,0.0,0.0
90.0,0.0,0.0
92.0,0.0,0.0
94.0,0.0,0.0
98.0,0.0,0.0
102.0,0.0,0.0
106.0,0.0,0.0
110.0,0.0,0.0
114.0,0.0,0.0
118.0,0.0,0.0
122.0,0.0,0.0
126.0,0.0,0.0
130.0,0.0,0.0
134.0,0.0,0.0
136.0,0.0,0.0
138.0,0.0,0.0
142.0,0.0,0.0
146.0,0.0,0.0
150.0,0.0,0.0
154.0,0.0,0.0
158.0,0.0,0.0
