elapsed_s,kbps,pps
2.2,1003.5,514.1
4.2,962.4,493.0
8.2,973.5,498.7
12.2,974.1,499.0
16.2,968.6,496.2
18.2,978.7,501.4
20.2,944.9,484.1
24.2,985.5,504.9
28.2,990.7,507.5
32.2,905.6,463.9
34.2,945.4,484.3
36.2,913.7,468.1
38.2,938.9,481.0
42.2,928.1,475.5
44.2,904.7,463.5
48.2,876.2,448.9
52.2,682.1,349.4
56.2,625.6,320.5
60.2,623.3,319.3
64.2,625.1,320.2
66.2,631.0,323.3
70.2,630.1,322.8
74.2,629.5,322.5
78.2,627.7,321.6
82.2,627.5,321.5
84.2,628.9,322.2
88.2,622.6,319.0
90.2,624.9,320.2
94.2,622.3,318.8
98.2,627.2,321.3
100.2,618.7,316.9
104.2,630.1,322.8
106.2,628.8,322.2
108.2,630.4,323.0
110.2,627.6,321.5
114.2,626.1,320.7
116.2,628.5,322.0
118.2,627.7,321.6
120.2,629.2,322.3
122.3,631.6,323.6
126.2,627.0,321.2
130.2,625.2,320.3
134.2,631.0,323.2
138.2,629.9,322.7
140.2,623.8,319.6
144.2,620.3,317.8
146.2,634.3,325.0
150.2,627.9,321.7
154.2,628.1,321.8
158.2,622.0,318.7
160.2,628.2,321.8
164.2,627.3,321.3
166.2,628.3,321.9
170.2,630.6,323.0
172.2,621.5,318.4
174.2,623.2,319.3
178.2,625.4,320.4
180.2,614.1,314.6
182.2,630.0,322.7
186.2,627.6,321.5
190.2,622.5,318.9
194.2,627.0,321.2
198.2,622.5,318.9
202.2,629.3,322.4
206.2,628.8,322.1
210.2,627.7,321.5
214.2,626.0,320.7
216.2,627.3,321.4
218.2,626.7,321.1
220.2,628.5,322.0
224.2,625.2,320.3
228.2,627.6,321.5
230.2,632.1,323.8
232.2,621.5,318.4
234.3,629.5,322.5
238.2,627.3,321.4
242.2,626.3,320.9
246.2,628.5,322.0
250.2,632.7,324.1
252.2,629.2,322.3
256.2,628.1,321.8
258.3,629.1,322.3
262.2,627.2,321.3
266.2,629.1,322.3
268.2,631.3,323.4
272.2,630.5,323.0
276.2,630.9,323.2
278.2,628.2,321.8
282.2,630.6,323.0
284.2,628.1,321.8
286.2,627.6,321.5
290.2,628.9,322.2
292.2,627.0,321.2
296.2,631.0,323.3
298.2,624.8,320.1
300.2,630.3,322.9
304.2,618.8,317.0
308.2,624.6,320.0
312.2,625.2,320.3
314.2,628.1,321.8
318.2,622.8,319.0
322.2,629.6,322.5
326.2,628.3,321.9
330.2,628.1,321.8
334.2,629.0,322.2
336.2,631.2,323.3
340.2,627.7,321.6
342.2,627.7,321.6
344.2,629.9,322.7
346.2,632.2,323.9
350.2,313.2,160.5
352.2,0.0,0.0
356.2,0.0,0.0
360.2,0.0,0.0
364.2,0.0,0.0
368.2,0.0,0.0
372.2,0.0,0.0
